brand,model,processor_brand,processor_name,processor_gnrtn,ram_GB,ram_type,ssd,hdd,os,os_bit,graphic_card_GB,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
Lenovo,Yoga,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,2235.97,3092.57,27.70%,0,0,0
Lenovo,Yoga,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,Yes,Yes,1078.87,1527.37,29.36%,0,0,0
Lenovo,Ideapad,Intel,Core i5,8th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,1,No,Yes,779.99,1040.00,25.00%,4.4,22,3
Lenovo,Yoga,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,Yes,1195.99,1196.00,0.00%,4.6,16,2
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,792.87,1217.97,34.90%,3.9,14,6
Lenovo,Ideapad,Intel,Core i5,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,Yes,Yes,1130.99,1417.00,20.18%,4.7,3,0
Lenovo,Ideapad,Intel,Core i5,8th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,Yes,974.87,1084.95,10.15%,3.3,3,1
Lenovo,Missing,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,15.6,1,No,Yes,1093.12,0.00,0.00%,3.5,8,3
Lenovo,ThinkBook,Intel,Core i5,11th,8 GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,Yes,844.87,1580.90,46.56%,3,4,0
Lenovo,ThinkPad,Intel,Core i5,10th,8 GB,DDR4,512 GB,512 GB,Windows,64-bit,0,ThinNlight,16,3,Yes,No,2020.34,0.00,0.00%,0,0,0
